epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.31044,1.68229,4.36681,1.74643,0.001,1,0.20406,0.1198,1.56252,5.70813,1.82769,2e-05,2e-05,2e-05
2,16.2046,1.41936,4.27836,1.63111,0.001,1,0.27949,0.17453,1.31498,5.68911,1.55485,5.9406e-05,5.9406e-05,5.9406e-05
3,23.065,0.97873,4.15624,1.25056,0.001,1,0.31367,0.23816,0.80097,5.30717,1.20252,9.802e-05,9.802e-05,9.802e-05
4,29.8775,0.90637,3.97263,1.16091,0.001,1,0.35773,0.29697,0.53163,5.17877,1.04736,0.000135842,0.000135842,0.000135842
5,36.8727,0.8498,3.74593,1.10383,0.001,1,0.30728,0.2563,0.48739,5.0664,1.00325,0.000172872,0.000172872,0.000172872
6,43.7862,0.81724,3.89478,1.10242,0.001,1,0.31163,0.24247,0.4746,5.11252,0.98201,0.00020911,0.00020911,0.00020911
7,50.7356,0.86152,3.28287,1.14451,0.001,1,0.30922,0.24925,0.47579,5.0795,0.96548,0.000244556,0.000244556,0.000244556
8,57.9823,0.74426,2.94956,1.04794,0.001,1,0.31026,0.25482,0.52814,5.08529,0.97407,0.00027921,0.00027921,0.00027921
9,65.0059,0.83865,3.5447,1.12054,0.001,1,0.39674,0.3381,0.48974,5.04497,0.94843,0.000313072,0.000313072,0.000313072
10,71.8406,0.8126,3.26394,1.04851,0.001,1,0.3046,0.26487,0.48444,5.08092,0.97964,0.000346142,0.000346142,0.000346142
11,78.7619,0.82043,2.88604,1.10377,0.001,1,0.3,0.25895,0.49891,5.04478,0.94527,0.00037842,0.00037842,0.00037842
12,85.7392,0.7919,3.09247,1.07467,0.001,1,0.37445,0.32238,0.51524,5.0158,0.97543,0.000409906,0.000409906,0.000409906
13,92.5861,0.8726,2.74066,1.16526,0.001,1,0.42842,0.35385,0.57944,5.02537,1.03497,0.0004406,0.0004406,0.0004406
14,99.4811,0.80175,2.78129,1.12229,0.001,1,0.40282,0.32896,0.59956,5.08477,1.0513,0.000470502,0.000470502,0.000470502
15,106.16,0.88629,3.13958,1.06919,0.001,1,0.47949,0.37803,0.73296,5.08958,1.20605,0.000499612,0.000499612,0.000499612
16,113.032,0.85973,2.63571,1.13621,0.001,1,0.30413,0.25415,0.61659,4.99432,1.05225,0.00052793,0.00052793,0.00052793
17,119.885,0.78568,2.97344,1.0883,0.001,1,0.29658,0.24538,0.61655,5.05244,1.01269,0.000555456,0.000555456,0.000555456
18,126.741,0.81566,2.96061,1.10066,0.001,1,0.21414,0.16724,0.64401,5.05529,1.08297,0.00058219,0.00058219,0.00058219
19,133.59,0.77908,2.55573,1.04721,0.001,1,0.27982,0.22299,0.66458,4.98052,1.07218,0.000608132,0.000608132,0.000608132
20,140.378,0.81365,2.54701,1.08218,0.001,1,0.34155,0.27083,0.71697,4.89676,1.09418,0.000633282,0.000633282,0.000633282
21,147.248,0.92443,2.89166,1.128,0.001,1,0.24071,0.19787,0.61636,5.03508,1.06526,0.00065764,0.00065764,0.00065764
22,154.034,0.87652,2.73504,1.13419,0.001,1,0.07651,0.03955,0.84167,5.4906,1.25665,0.000681206,0.000681206,0.000681206
23,160.794,0.84204,2.32283,1.10882,0.00443,1,0.01047,0.00336,2.22954,9.21742,2.46673,0.00070398,0.00070398,0.00070398
24,167.55,0.8574,2.66728,1.13059,0.00318,1,0.00624,0.00145,2.68069,12.5196,3.8236,0.000725962,0.000725962,0.000725962
25,174.637,0.88951,2.30889,1.1113,0.00071,0.71429,0.00106,0.00029,3.74504,16.133,5.50767,0.000747152,0.000747152,0.000747152
26,182.468,0.84044,2.17522,1.11094,0.00369,0.85714,0.0038,0.0009,3.12355,11.5765,6.8521,0.00076755,0.00076755,0.00076755
