epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.02987,1.72398,5.88843,2.11331,0.001,1,0.23549,0.14328,1.54337,5.81043,1.80156,2e-05,2e-05,2e-05
2,13.598,1.30819,5.48899,1.64703,0.001,1,0.34988,0.23273,1.22071,5.70557,1.50279,5.9406e-05,5.9406e-05,5.9406e-05
3,19.9458,0.6711,5.08192,1.05898,0.001,1,0.367,0.27844,0.81024,5.38366,1.20957,9.802e-05,9.802e-05,9.802e-05
4,26.1942,0.57985,5.0396,0.97548,0.001,1,0.3922,0.31628,0.61518,5.24768,1.0512,0.000135842,0.000135842,0.000135842
5,32.5716,0.49994,4.92551,0.9406,0.001,1,0.58481,0.48484,0.53041,5.16664,0.98246,0.000172872,0.000172872,0.000172872
6,38.9208,0.47056,4.63367,0.92549,0.001,1,0.76228,0.63832,0.52268,5.08781,0.98039,0.00020911,0.00020911,0.00020911
7,45.4782,0.45572,4.17832,0.91538,0.001,1,0.93961,0.78685,0.50187,5.06818,0.96314,0.000244556,0.000244556,0.000244556
8,52.0219,0.44163,3.57685,0.90214,0.001,1,0.995,0.8032,0.54194,5.12006,0.99296,0.00027921,0.00027921,0.00027921
9,58.3211,0.40663,3.22049,0.88988,0.001,1,0.98545,0.79868,0.57095,5.05638,0.98788,0.000313072,0.000313072,0.000313072
10,64.6919,0.4704,2.91819,0.92257,0.001,1,0.87688,0.66844,0.67523,5.24389,1.11629,0.000346142,0.000346142,0.000346142
11,70.9509,0.44792,2.84343,0.90563,0.001,1,0.91506,0.78434,0.53629,5.06076,0.97848,0.00037842,0.00037842,0.00037842
12,77.2678,0.402,2.77763,0.87499,0.001,1,0.995,0.80073,0.58843,5.13484,1.03169,0.000409906,0.000409906,0.000409906
13,83.5638,0.37896,2.66283,0.86612,0.001,1,0.995,0.83282,0.57588,5.01995,1.01152,0.0004406,0.0004406,0.0004406
14,89.8683,0.41561,2.51202,0.87047,0.001,1,0.995,0.85541,0.54596,5.00978,0.98401,0.000470502,0.000470502,0.000470502
15,96.1599,0.35503,2.43941,0.85992,0.001,1,0.995,0.85701,0.54064,4.91269,0.98786,0.000499612,0.000499612,0.000499612
16,102.756,0.35874,2.41776,0.85594,0.001,1,0.96262,0.79857,0.62826,5.02362,1.08995,0.00052793,0.00052793,0.00052793
